,pol count,pol average,Adm1Code,quarter,year
266,87,2.1219512195121952,IR33,3,2016
267,38,1.52,IR33,4,2016
268,92,2.358974358974359,IR33,1,2017
269,28,1.4,IR33,2,2017
270,70,2.5,IR33,3,2017
271,7,1.75,IR33,4,2017
272,11,2.75,IR34,1,2015
273,30,1.875,IR34,2,2015
274,39,1.5,IR34,3,2015
275,21,1.5,IR34,4,2015
276,36,2.1176470588235294,IR34,1,2016
277,50,2.272727272727273,IR34,2,2016
278,96,4.571428571428571,IR34,3,2016
279,49,2.45,IR34,4,2016
280,38,2.111111111111111,IR34,1,2017
281,47,2.35,IR34,2,2017
282,32,2.0,IR34,3,2017
283,1,1.0,IR34,4,2017
284,5,1.25,IR35,1,2015
285,23,1.6428571428571428,IR35,2,2015
286,18,1.5,IR35,3,2015
287,22,1.375,IR35,4,2015
288,39,2.2941176470588234,IR35,1,2016
289,31,1.7222222222222223,IR35,2,2016
290,22,1.8333333333333333,IR35,3,2016
291,41,2.1578947368421053,IR35,4,2016
292,14,1.4,IR35,1,2017
293,14,1.4,IR35,2,2017
294,10,1.25,IR35,3,2017
295,8,1.3333333333333333,IR36,1,2015
296,46,3.066666666666667,IR36,2,2015
297,57,1.7272727272727273,IR36,3,2015
298,18,2.0,IR36,4,2015
299,34,2.4285714285714284,IR36,1,2016
300,15,1.25,IR36,2,2016
301,22,1.375,IR36,3,2016
302,10,2.0,IR36,4,2016
303,31,2.3846153846153846,IR36,1,2017
304,17,1.4166666666666667,IR36,2,2017
305,79,3.2916666666666665,IR36,3,2017
306,8,1.3333333333333333,IR36,4,2017
307,1,1.0,IR37,2,2015
308,8,2.0,IR37,3,2015
309,2,1.0,IR37,4,2015
310,56,2.9473684210526314,IR37,1,2016
311,7,1.1666666666666667,IR37,2,2016
312,10,1.25,IR37,3,2016
313,10,1.25,IR37,4,2016
314,1,1.0,IR37,1,2017
315,12,2.4,IR37,2,2017
316,4,1.0,IR37,3,2017
317,3,1.5,IR38,1,2015
318,15,1.6666666666666667,IR38,2,2015
319,22,1.375,IR38,3,2015
320,21,1.75,IR38,4,2015
321,22,2.0,IR38,1,2016
322,48,3.2,IR38,2,2016
323,17,1.3076923076923077,IR38,3,2016
324,14,1.5555555555555556,IR38,4,2016
325,12,1.3333333333333333,IR38,1,2017
326,13,1.8571428571428572,IR38,2,2017
327,4,1.0,IR38,3,2017
328,2,2.0,IR38,4,2017
329,6,2.0,IR39,1,2015
330,3,1.5,IR39,2,2015
331,7,1.0,IR39,3,2015
332,16,2.2857142857142856,IR39,4,2015
333,33,2.2,IR39,1,2016
