,esg count,esg average,Adm1Code,quarter,year
238,7,1.0,IR33,2,2017
239,10,1.4285714285714286,IR33,3,2017
240,1,1.0,IR33,4,2017
241,1,1.0,IR34,1,2015
242,7,1.1666666666666667,IR34,2,2015
243,4,1.0,IR34,3,2015
244,6,2.0,IR34,1,2016
245,9,1.8,IR34,2,2016
246,13,2.6,IR34,3,2016
247,8,1.6,IR34,4,2016
248,9,1.5,IR34,1,2017
249,5,1.6666666666666667,IR34,2,2017
250,54,2.7,IR34,3,2017
251,3,1.5,IR34,4,2017
252,7,3.5,IR35,1,2015
253,12,1.5,IR35,2,2015
254,7,1.4,IR35,3,2015
255,13,1.4444444444444444,IR35,4,2015
256,6,1.2,IR35,1,2016
257,14,2.0,IR35,2,2016
258,3,1.5,IR35,3,2016
259,12,1.7142857142857142,IR35,4,2016
260,2,1.0,IR35,1,2017
261,3,1.5,IR35,2,2017
262,1,1.0,IR35,3,2017
263,1,1.0,IR36,1,2015
264,8,2.0,IR36,2,2015
265,5,1.6666666666666667,IR36,3,2015
266,1,1.0,IR36,4,2015
267,2,1.0,IR36,1,2016
268,2,1.0,IR36,2,2016
269,5,1.0,IR36,3,2016
270,3,1.0,IR36,4,2016
271,6,2.0,IR36,2,2017
272,1,1.0,IR36,3,2017
273,1,1.0,IR36,4,2017
274,1,1.0,IR37,3,2015
275,1,1.0,IR37,4,2015
276,1,1.0,IR37,2,2016
277,11,2.2,IR37,2,2017
278,1,1.0,IR37,3,2017
279,1,1.0,IR38,1,2015
280,1,1.0,IR38,2,2015
281,1,1.0,IR38,3,2015
282,4,2.0,IR38,4,2015
283,4,2.0,IR38,1,2016
284,6,1.2,IR38,2,2016
285,3,1.5,IR38,3,2016
286,3,1.0,IR38,4,2016
287,2,2.0,IR38,1,2017
288,5,2.5,IR38,2,2017
289,6,1.5,IR38,3,2017
290,3,1.0,IR39,2,2015
291,1,1.0,IR39,4,2015
292,4,1.3333333333333333,IR39,1,2016
293,3,1.5,IR39,2,2016
294,1,1.0,IR39,3,2016
295,12,2.4,IR39,4,2016
296,48,4.8,IR39,2,2017
297,3,1.5,IR39,3,2017
298,6,2.0,IR40,1,2015
299,9,1.5,IR40,2,2015
300,3,1.0,IR40,3,2015
301,3,1.0,IR40,4,2015
302,7,1.4,IR40,1,2016
303,22,1.6923076923076923,IR40,2,2016
304,6,1.0,IR40,3,2016
305,6,2.0,IR40,4,2016
306,4,1.0,IR40,1,2017
307,12,1.3333333333333333,IR40,2,2017
308,7,2.3333333333333335,IR40,3,2017
309,2,2.0,IR41,1,2015
310,2,1.0,IR41,2,2015
311,1,1.0,IR41,4,2015
312,1,1.0,IR41,1,2016
313,3,1.5,IR41,2,2016
314,2,1.0,IR41,4,2016
315,2,1.0,IR41,1,2017
316,3,1.0,IR41,2,2017
317,1,1.0,IR41,3,2017
318,3,1.0,IR42,2,2015
319,2,1.0,IR42,3,2015
