,pol count,pol average,Adm1Code,quarter,year
287,1136,12.483516483516484,BR27,2,2016
288,1530,16.630434782608695,BR27,3,2016
289,925,10.164835164835164,BR27,4,2016
290,824,9.363636363636363,BR27,1,2017
291,1043,11.461538461538462,BR27,2,2017
292,1269,13.793478260869565,BR27,3,2017
293,167,11.928571428571429,BR27,4,2017
294,2,1.0,BR28,1,2015
295,2,1.0,BR28,2,2015
296,2,1.0,BR28,3,2015
297,2,1.0,BR28,4,2015
298,1,1.0,BR28,1,2016
299,3,1.0,BR28,2,2016
300,2,1.0,BR28,3,2016
301,1,1.0,BR28,4,2016
302,9,1.5,BR28,1,2017
303,9,2.25,BR28,2,2017
304,15,1.6666666666666667,BR29,1,2015
305,30,1.4285714285714286,BR29,2,2015
306,42,1.5,BR29,3,2015
307,45,1.5,BR29,4,2015
308,66,1.7837837837837838,BR29,1,2016
309,114,2.375,BR29,2,2016
310,104,2.260869565217391,BR29,3,2016
311,94,2.238095238095238,BR29,4,2016
312,80,1.951219512195122,BR29,1,2017
313,72,1.6363636363636365,BR29,2,2017
314,59,2.0344827586206895,BR29,3,2017
315,9,2.25,BR29,4,2017
316,54,1.9285714285714286,BR30,1,2015
317,210,4.117647058823529,BR30,2,2015
318,183,2.9047619047619047,BR30,3,2015
319,188,2.611111111111111,BR30,4,2015
320,229,3.136986301369863,BR30,1,2016
321,399,4.807228915662651,BR30,2,2016
322,367,4.369047619047619,BR30,3,2016
323,280,3.7333333333333334,BR30,4,2016
324,288,3.9452054794520546,BR30,1,2017
325,225,3.2142857142857144,BR30,2,2017
326,228,3.3043478260869565,BR30,3,2017
327,35,4.375,BR30,4,2017
328,10,1.6666666666666667,BR31,2,2015
329,8,1.1428571428571428,BR31,3,2015
330,11,1.2222222222222223,BR31,4,2015
331,14,2.3333333333333335,BR31,1,2016
332,7,1.1666666666666667,BR31,2,2016
333,9,1.2857142857142858,BR31,3,2016
334,13,1.3,BR31,4,2016
335,2,1.0,BR31,1,2017
336,6,1.2,BR31,2,2017
337,10,1.4285714285714286,BR31,3,2017
338,1,1.0,BR31,4,2017
